exp-id,피쳐명,설명,used_in_ml,원천 데이터,계산 방식,데이터 타입,단위 (보류),time window,결측 처리,이상치 처리,누수 위험,품질 기준,사용 여부,비고,담당파트
ml-03,account_stats__sender__all__tx_velocity__ratio__w1d,sender 계좌의 과거 1d 거래 속도,,,sender_account_id 기준 현재 거래 시점 이전 1d 거래 건수를 활성 일수 또는 활성 시간으로 나눈 속도,numeric,회/기간,현재 거래 시점 이전 1d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,velocity 분모 정의 미정,ML
ml-03,account_stats__sender__all__interarrival_seconds__mean__w1d,sender 계좌의 과거 1d 거래 간격 평균,,,sender_account_id 기준 현재 거래 시점 이전 1d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 mean 집계,numeric,초,현재 거래 시점 이전 1d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__interarrival_seconds__std__w1d,sender 계좌의 과거 1d 거래 간격 표준편차,,,sender_account_id 기준 현재 거래 시점 이전 1d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 std 집계,numeric,초,현재 거래 시점 이전 1d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__interarrival_seconds__min__w1d,sender 계좌의 과거 1d 거래 간격 최소값,,,sender_account_id 기준 현재 거래 시점 이전 1d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 min 집계,numeric,초,현재 거래 시점 이전 1d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__active_days__count__w3d,sender 계좌의 과거 3d 활성 일수,,,sender_account_id 기준 현재 거래 시점 이전 3d 동안 거래가 있었던 고유 날짜 수 집계,numeric / int,일,현재 거래 시점 이전 3d,활동일 없음은 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,date floor 기준 timezone 확인 필요,ML
ml-03,account_stats__sender__all__tx_velocity__ratio__w3d,sender 계좌의 과거 3d 거래 속도,,,sender_account_id 기준 현재 거래 시점 이전 3d 거래 건수를 활성 일수 또는 활성 시간으로 나눈 속도,numeric,회/기간,현재 거래 시점 이전 3d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,velocity 분모 정의 미정,ML
ml-03,account_stats__sender__all__interarrival_seconds__mean__w3d,sender 계좌의 과거 3d 거래 간격 평균,,,sender_account_id 기준 현재 거래 시점 이전 3d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 mean 집계,numeric,초,현재 거래 시점 이전 3d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__interarrival_seconds__std__w3d,sender 계좌의 과거 3d 거래 간격 표준편차,,,sender_account_id 기준 현재 거래 시점 이전 3d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 std 집계,numeric,초,현재 거래 시점 이전 3d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__interarrival_seconds__min__w3d,sender 계좌의 과거 3d 거래 간격 최소값,,,sender_account_id 기준 현재 거래 시점 이전 3d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 min 집계,numeric,초,현재 거래 시점 이전 3d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__active_days__count__w7d,sender 계좌의 과거 7d 활성 일수,,,sender_account_id 기준 현재 거래 시점 이전 7d 동안 거래가 있었던 고유 날짜 수 집계,numeric / int,일,현재 거래 시점 이전 7d,활동일 없음은 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,date floor 기준 timezone 확인 필요,ML
ml-03,account_stats__sender__all__tx_velocity__ratio__w7d,sender 계좌의 과거 7d 거래 속도,,,sender_account_id 기준 현재 거래 시점 이전 7d 거래 건수를 활성 일수 또는 활성 시간으로 나눈 속도,numeric,회/기간,현재 거래 시점 이전 7d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,velocity 분모 정의 미정,ML
ml-03,account_stats__sender__all__interarrival_seconds__mean__w7d,sender 계좌의 과거 7d 거래 간격 평균,,,sender_account_id 기준 현재 거래 시점 이전 7d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 mean 집계,numeric,초,현재 거래 시점 이전 7d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__interarrival_seconds__std__w7d,sender 계좌의 과거 7d 거래 간격 표준편차,,,sender_account_id 기준 현재 거래 시점 이전 7d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 std 집계,numeric,초,현재 거래 시점 이전 7d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__interarrival_seconds__min__w7d,sender 계좌의 과거 7d 거래 간격 최소값,,,sender_account_id 기준 현재 거래 시점 이전 7d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 min 집계,numeric,초,현재 거래 시점 이전 7d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__sender__all__age_hours_since_first__whist,sender 계좌 최초 관측 이후 경과 시간,,,sender_account_id 기준 현재 거래 시점 이전 최초 관측 timestamp와 현재 timestamp 차이를 시간 단위로 계산,numeric,시간,현재 거래 시점 이전 전체 이력,이전 이력이 없으면 결측 또는 first_seen flag 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,신규 계좌 flag와 함께 해석,ML
ml-03,account_stats__sender__net__tx_count_in_out_ratio__w6h,sender 계좌의 과거 6h 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 6h inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 6h,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__sender__net__tx_count_in_out_ratio__w1d,sender 계좌의 과거 1d 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 1d inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 1d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__sender__net__tx_count_in_out_ratio__w3d,sender 계좌의 과거 3d 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 3d inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 3d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__sender__net__tx_count_in_out_ratio__w7d,sender 계좌의 과거 7d 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 7d inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 7d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__receiver__all__active_days__count__w1d,receiver 계좌의 과거 1d 활성 일수,,,receiver_account_id 기준 현재 거래 시점 이전 1d 동안 거래가 있었던 고유 날짜 수 집계,numeric / int,일,현재 거래 시점 이전 1d,활동일 없음은 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,date floor 기준 timezone 확인 필요,ML
ml-03,account_stats__receiver__all__tx_velocity__ratio__w1d,receiver 계좌의 과거 1d 거래 속도,,,receiver_account_id 기준 현재 거래 시점 이전 1d 거래 건수를 활성 일수 또는 활성 시간으로 나눈 속도,numeric,회/기간,현재 거래 시점 이전 1d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,velocity 분모 정의 미정,ML
ml-03,account_stats__receiver__all__interarrival_seconds__mean__w1d,receiver 계좌의 과거 1d 거래 간격 평균,,,receiver_account_id 기준 현재 거래 시점 이전 1d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 mean 집계,numeric,초,현재 거래 시점 이전 1d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__interarrival_seconds__std__w1d,receiver 계좌의 과거 1d 거래 간격 표준편차,,,receiver_account_id 기준 현재 거래 시점 이전 1d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 std 집계,numeric,초,현재 거래 시점 이전 1d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__interarrival_seconds__min__w1d,receiver 계좌의 과거 1d 거래 간격 최소값,,,receiver_account_id 기준 현재 거래 시점 이전 1d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 min 집계,numeric,초,현재 거래 시점 이전 1d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__active_days__count__w3d,receiver 계좌의 과거 3d 활성 일수,,,receiver_account_id 기준 현재 거래 시점 이전 3d 동안 거래가 있었던 고유 날짜 수 집계,numeric / int,일,현재 거래 시점 이전 3d,활동일 없음은 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,date floor 기준 timezone 확인 필요,ML
ml-03,account_stats__receiver__all__tx_velocity__ratio__w3d,receiver 계좌의 과거 3d 거래 속도,,,receiver_account_id 기준 현재 거래 시점 이전 3d 거래 건수를 활성 일수 또는 활성 시간으로 나눈 속도,numeric,회/기간,현재 거래 시점 이전 3d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,velocity 분모 정의 미정,ML
ml-03,account_stats__receiver__all__interarrival_seconds__mean__w3d,receiver 계좌의 과거 3d 거래 간격 평균,,,receiver_account_id 기준 현재 거래 시점 이전 3d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 mean 집계,numeric,초,현재 거래 시점 이전 3d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__interarrival_seconds__std__w3d,receiver 계좌의 과거 3d 거래 간격 표준편차,,,receiver_account_id 기준 현재 거래 시점 이전 3d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 std 집계,numeric,초,현재 거래 시점 이전 3d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__interarrival_seconds__min__w3d,receiver 계좌의 과거 3d 거래 간격 최소값,,,receiver_account_id 기준 현재 거래 시점 이전 3d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 min 집계,numeric,초,현재 거래 시점 이전 3d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__active_days__count__w7d,receiver 계좌의 과거 7d 활성 일수,,,receiver_account_id 기준 현재 거래 시점 이전 7d 동안 거래가 있었던 고유 날짜 수 집계,numeric / int,일,현재 거래 시점 이전 7d,활동일 없음은 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,date floor 기준 timezone 확인 필요,ML
ml-03,account_stats__receiver__all__tx_velocity__ratio__w7d,receiver 계좌의 과거 7d 거래 속도,,,receiver_account_id 기준 현재 거래 시점 이전 7d 거래 건수를 활성 일수 또는 활성 시간으로 나눈 속도,numeric,회/기간,현재 거래 시점 이전 7d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,velocity 분모 정의 미정,ML
ml-03,account_stats__receiver__all__interarrival_seconds__mean__w7d,receiver 계좌의 과거 7d 거래 간격 평균,,,receiver_account_id 기준 현재 거래 시점 이전 7d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 mean 집계,numeric,초,현재 거래 시점 이전 7d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__interarrival_seconds__std__w7d,receiver 계좌의 과거 7d 거래 간격 표준편차,,,receiver_account_id 기준 현재 거래 시점 이전 7d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 std 집계,numeric,초,현재 거래 시점 이전 7d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__interarrival_seconds__min__w7d,receiver 계좌의 과거 7d 거래 간격 최소값,,,receiver_account_id 기준 현재 거래 시점 이전 7d 내 거래 간 시간 간격을 초 단위로 계산한 뒤 min 집계,numeric,초,현재 거래 시점 이전 7d,간격 표본 부족 시 결측 또는 sentinel 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,recency 피처와 중복성 점검 필요,ML
ml-03,account_stats__receiver__all__age_hours_since_first__whist,receiver 계좌 최초 관측 이후 경과 시간,,,receiver_account_id 기준 현재 거래 시점 이전 최초 관측 timestamp와 현재 timestamp 차이를 시간 단위로 계산,numeric,시간,현재 거래 시점 이전 전체 이력,이전 이력이 없으면 결측 또는 first_seen flag 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,신규 계좌 flag와 함께 해석,ML
ml-03,account_stats__receiver__net__tx_count_in_out_ratio__w6h,receiver 계좌의 과거 6h 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 6h inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 6h,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__receiver__net__tx_count_in_out_ratio__w1d,receiver 계좌의 과거 1d 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 1d inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 1d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__receiver__net__tx_count_in_out_ratio__w3d,receiver 계좌의 과거 3d 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 3d inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 3d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-03,account_stats__receiver__net__tx_count_in_out_ratio__w7d,receiver 계좌의 과거 7d 입출금 거래 건수 비율,,,계좌별 현재 거래 시점 이전 7d inbound 거래 건수와 outbound 거래 건수의 비율 계산,numeric,비율,현재 거래 시점 이전 7d,분모 0은 결측 또는 0 처리 정책 확인 필요,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,Stage 4 금액 flow-balance와 구분,ML
ml-04,pair__sender_receiver__forward__tx_count__count__w1h,동일 sender->receiver pair의 과거 1h 거래 건수,,,동일 방향 pair 기준 현재 거래 시점 이전 1h 거래 건수 집계,numeric / int,회,현재 거래 시점 이전 1h,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-04 Stage 3 pair 반복성 핵심 후보,ML
ml-04,pair__sender_receiver__forward__amount__sum__w1h,동일 sender->receiver pair의 과거 1h 거래 금액 합계,,,동일 방향 pair 기준 현재 거래 시점 이전 1h amount 합계,numeric,원,현재 거래 시점 이전 1h,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair cardinality 비용 점검 필요,ML
ml-04,pair__sender_receiver__forward__tx_count__count__w6h,동일 sender->receiver pair의 과거 6h 거래 건수,,,동일 방향 pair 기준 현재 거래 시점 이전 6h 거래 건수 집계,numeric / int,회,현재 거래 시점 이전 6h,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-04 Stage 3 pair 반복성 핵심 후보,ML
ml-04,pair__sender_receiver__forward__amount__sum__w6h,동일 sender->receiver pair의 과거 6h 거래 금액 합계,,,동일 방향 pair 기준 현재 거래 시점 이전 6h amount 합계,numeric,원,현재 거래 시점 이전 6h,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair cardinality 비용 점검 필요,ML
ml-04,pair__sender_receiver__forward__tx_count__count__w1d,동일 sender->receiver pair의 과거 1d 거래 건수,,,동일 방향 pair 기준 현재 거래 시점 이전 1d 거래 건수 집계,numeric / int,회,현재 거래 시점 이전 1d,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-04 Stage 3 pair 반복성 핵심 후보,ML
ml-04,pair__sender_receiver__forward__amount__sum__w1d,동일 sender->receiver pair의 과거 1d 거래 금액 합계,,,동일 방향 pair 기준 현재 거래 시점 이전 1d amount 합계,numeric,원,현재 거래 시점 이전 1d,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair cardinality 비용 점검 필요,ML
ml-04,pair__sender_receiver__forward__tx_count__count__w3d,동일 sender->receiver pair의 과거 3d 거래 건수,,,동일 방향 pair 기준 현재 거래 시점 이전 3d 거래 건수 집계,numeric / int,회,현재 거래 시점 이전 3d,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-04 Stage 3 pair 반복성 핵심 후보,ML
ml-04,pair__sender_receiver__forward__amount__sum__w3d,동일 sender->receiver pair의 과거 3d 거래 금액 합계,,,동일 방향 pair 기준 현재 거래 시점 이전 3d amount 합계,numeric,원,현재 거래 시점 이전 3d,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair cardinality 비용 점검 필요,ML
ml-04,pair__sender_receiver__forward__tx_count__count__w7d,동일 sender->receiver pair의 과거 7d 거래 건수,,,동일 방향 pair 기준 현재 거래 시점 이전 7d 거래 건수 집계,numeric / int,회,현재 거래 시점 이전 7d,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,ML-04 Stage 3 pair 반복성 핵심 후보,ML
ml-04,pair__sender_receiver__forward__amount__sum__w7d,동일 sender->receiver pair의 과거 7d 거래 금액 합계,,,동일 방향 pair 기준 현재 거래 시점 이전 7d amount 합계,numeric,원,현재 거래 시점 이전 7d,이전 pair 이력이 없으면 0으로 대체,,낮음: timestamp < current timestamp만 사용하고 동일 timestamp 제외 전제,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair cardinality 비용 점검 필요,ML
ml-04,pair__sender_receiver__forward__amount__mean__w1d,동일 sender->receiver pair의 과거 1d 거래 금액 평균,,,동일 방향 pair 기준 현재 거래 시점 이전 1d amount의 mean 집계,numeric,원,현재 거래 시점 이전 1d,표본 부족 시 결측 또는 0 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair count/sum과 중복성 점검 필요,ML
ml-04,pair__sender_receiver__forward__amount__std__w1d,동일 sender->receiver pair의 과거 1d 거래 금액 표준편차,,,동일 방향 pair 기준 현재 거래 시점 이전 1d amount의 std 집계,numeric,원,현재 거래 시점 이전 1d,표본 부족 시 결측 또는 0 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair count/sum과 중복성 점검 필요,ML
ml-04,pair__sender_receiver__forward__amount__max__w1d,동일 sender->receiver pair의 과거 1d 거래 금액 최대값,,,동일 방향 pair 기준 현재 거래 시점 이전 1d amount의 max 집계,numeric,원,현재 거래 시점 이전 1d,표본 부족 시 결측 또는 0 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,pair count/sum과 중복성 점검 필요,ML
ml-04,pair__sender_receiver__reverse__exists__w1d,과거 1d reverse pair 존재 여부,,,forward/reverse pair 이력을 현재 거래 시점 이전 1d 기준으로 조회; current/same timestamp 제외,numeric / int,0/1,현재 거래 시점 이전 1d,역방향 이력이 없으면 0,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,왕복 거래와 cycle 근사 핵심 후보,ML
ml-04,pair__sender_receiver__reverse__tx_count__count__w1d,과거 1d reverse pair 거래 건수,,,forward/reverse pair 이력을 현재 거래 시점 이전 1d 기준으로 조회; current/same timestamp 제외,numeric / int,회,현재 거래 시점 이전 1d,역방향 이력이 없으면 0,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,reverse key 방향 혼동 방지 테스트 필요,ML
ml-04,pair__sender_receiver__net__amount__sumdiff__w1d,과거 1d forward-reverse 순금액,,,forward/reverse pair 이력을 현재 거래 시점 이전 1d 기준으로 조회; current/same timestamp 제외,numeric,원,현재 거래 시점 이전 1d,"양방향 이력이 없으면 0, 한쪽만 있으면 관측 방향만 반영",,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,금액 기준 통일 필요,ML
ml-04,pair__sender_receiver__forward__amount__cur_vs_mean_ratio__w1d,과거 1d 현재 금액 대비 동일 pair 평균 금액 비율,,,forward/reverse pair 이력을 현재 거래 시점 이전 1d 기준으로 조회; current/same timestamp 제외,numeric,비율,현재 거래 시점 이전 1d,이전 평균 없음 또는 분모 0은 결측 처리 정책 확인 필요,,중간: 과거 이력 경계와 동일 timestamp 제외 구현 검증 필요,"feature_quality_report에서 결측률, zero rate, near-zero variance 확인 필요",후보,is_new_pair와 함께 해석,ML
